file_index,file_type,source_language,destination_language
34841,MSGDATA,"I guess I got a little carried away... But it was
definitely worth it for that much fun, heh heh.",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"Could be worse, but...looks like my fun's over.",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,But I...I'm supposed to be better than this...,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"The shame of defeat... It is more than I can bear.
I'll just crawl under a rock now...",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,Of course I'd go down like this. Classic me.,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,You call that strength? Wait until we meet again.,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"Sorry, but I've gotta run. My life's worth a bit more
than gold to me.",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"Heh heh... The goddess is a wicked little creature
as it turns out...",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"After all this time... It turns out I'm the king...
of dying...",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"But it cannot end here... I'm still so far from
accomplishing my grand achievement...",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"Will anyone remember all that I worked for? All that
I tried for? Perhaps I shall go unmourned...",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"This has been a long time coming, but...
I'm not ready. I'm not ready!",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,If only I could return to those days once more...,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,I guess they say that business has its ups and downs...,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"I'm not some sort of damn fool to throw away my
life... I've come too far...",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"This round may be over, but I'll get you next time!",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"No, the time cannot be now. There is so much yet to
accomplish... I have a house to restore!",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"This is it? It is over now? I suppose I shall return to
the darkness and brood.",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"I've worked so hard to stay alive... I'm not letting go.
Not yet.",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,You call that strength? Wait until we meet again.,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,"Sorry, but I've gotta run. My life's worth a bit more
than gold to me.",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,Luck is on my side.,
34841,MSGDATA,A hard life sharpens the senses.,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,All that blood and sweat was worth it.,
34841,MSGDATA,Amazing what a little bloodshed can do.,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,My rise to prominence continues!,
34841,MSGDATA,I shall never cease grasping for more!,
34841,MSGDATA,Is such a small change truly an improvement?,
34841,MSGDATA,I have grown marginally stronger.,
34841,MSGDATA,Now I'm even tougher.,
34841,MSGDATA,"Oh, heck yeah.",
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,Death grows...more distant.,
34841,MSGDATA,$NONE,$NONE
34841,MSGDATA,$NONE,$NONE
